1; 30 September 2022 10:31:13; supersmartwatch; 129.64.31.13; 5432
2; 30 September 2022 10:51:53; superwristband; 129.64.128.17; 9000
3; 30 September 2022 10:56:13; wei-smartphone; 129.94.8.31; 8000
1; 09 October 2022 16:22:48; dev; 127.0.0.1
1; 09 October 2022 16:24:43; dev; 127.0.0.1; 1234
1; 09 October 2022 16:42:40; dev; 127.0.0.1; 1234
1; 09 October 2022 16:43:47; dev; 127.0.0.1; 1234
1; 09 October 2022 16:45:20; dev; 127.0.0.1; 1234
1; 09 October 2022 16:55:10; dev; 127.0.0.1; 1234
1; 14 October 2022 15:23:40; dev; 127.0.0.1; 1234
1; 14 October 2022 15:26:42; dev; 127.0.0.1; 1234
1; 14 October 2022 15:29:23; dev; 127.0.0.1; 1234
1; 14 October 2022 15:31:49; dev; 127.0.0.1; 1234
1; 14 October 2022 15:33:39; dev; 127.0.0.1; 1234
1; 14 October 2022 15:39:57; dev; 127.0.0.1; 1234
1; 14 October 2022 15:49:57; dev; 127.0.0.1; 1234
